controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a3c,split_policy_dynamics,17,148840.7679543304,134352.84223115203,164162.73838668014
a3c,split_policy_dynamics,18,165135.58301938008,147563.25981731244,184107.995217928
a3c,split_policy_dynamics,19,177013.28596579,157436.60303417864,197850.2408654984
a3c,split_policy_dynamics,20,195191.75456406202,174746.6864223918,217943.70014026275
a3c,split_policy_dynamics,21,208134.97008047276,186892.01692505632,228210.0740767929
a3c,split_policy_dynamics,22,220412.25169369314,195161.4067675219,244508.98895372238
a3c,split_policy_dynamics,23,234091.64812875257,206714.11233492082,261117.13659446762
a3c,split_policy_dynamics,24,247189.7195558891,216342.02172704964,277385.818441165
a3c,split_policy_dynamics,25,391834.1943923661,327349.32799712784,443739.76575590874
constraint_aware_weekly,adverse_stress,0,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,1,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,2,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,3,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,4,884.6949894376079,152.70982724793464,1495.037511415825
constraint_aware_weekly,adverse_stress,5,2769.961286989376,1691.416918121745,4120.183467082933
constraint_aware_weekly,adverse_stress,6,5640.221586735944,3115.513283220344,8719.046767389867
constraint_aware_weekly,adverse_stress,7,14034.700471715812,10883.439159149055,18026.31661363676
constraint_aware_weekly,adverse_stress,8,21472.117054768005,16809.795466576972,25469.21103828108
constraint_aware_weekly,adverse_stress,9,37861.66050142141,30799.10461016471,43455.871981793265
constraint_aware_weekly,adverse_stress,10,54027.81644851336,47527.31207113274,58255.964612275755
constraint_aware_weekly,adverse_stress,11,72410.48148406706,64789.69952750117,78536.99381858023
constraint_aware_weekly,adverse_stress,12,96786.08936303582,88504.1251680237,103417.27904348676
constraint_aware_weekly,adverse_stress,13,114671.88291213768,104273.07938529777,125631.27456225477
constraint_aware_weekly,adverse_stress,14,136043.27626815232,125807.01701919314,146934.97355142987
constraint_aware_weekly,adverse_stress,15,159873.74209572747,148697.51298451648,168149.6159048802
constraint_aware_weekly,adverse_stress,16,178902.0921626404,170056.9299684436,187125.66090148865
constraint_aware_weekly,adverse_stress,17,198474.3084924481,187073.79357380746,209718.85220853385
constraint_aware_weekly,adverse_stress,18,215787.8775799922,205042.69452302935,226555.82654382064
constraint_aware_weekly,adverse_stress,19,236952.0019990113,224168.0959203997,246463.3925918062
constraint_aware_weekly,adverse_stress,20,252418.03729258323,240869.53427124323,261735.08189112015
constraint_aware_weekly,adverse_stress,21,261863.64252764705,249212.8927806155,270883.05479282275
constraint_aware_weekly,adverse_stress,22,275638.6686508685,266250.1764351899,283613.99474479596
constraint_aware_weekly,adverse_stress,23,287728.1732583427,277171.74586535455,296077.7396715301
constraint_aware_weekly,adverse_stress,24,302624.4271288248,293937.541709987,311184.1479400222
constraint_aware_weekly,adverse_stress,25,442388.8518501802,429776.4113182213,456209.510235874
constraint_aware_weekly,base_market,0,0.0,0.0,0.0
constraint_aware_weekly,base_market,1,0.0,0.0,0.0
constraint_aware_weekly,base_market,2,0.0,0.0,0.0
